name,eissn,index,citations,jif2026,jif2025,quartile
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,1873-216X,SCIE,19918,41.3,37.0,Q1
JOURNAL OF HEPATOLOGY,1600-0641,SCIE,73177,40.1,33.0,Q1
Annual Review of Immunology,1545-3278,SCIE,20193,39.8,33.3,Q1
Innovation,2666-6758,ESCI,13607,39.5,25.7,Q1
Lancet Gastroenterology & Hepatology,2468-1253,SCIE,19481,39.1,38.6,Q1
Nature Reviews Endocrinology,1759-5037,SCIE,27488,39.1,40.0,Q1
International Journal of Educational Technology in Higher Education,2365-9440,SSCI,9825,38.7,16.7,Q1
Nano-Micro Letters,2150-5551,SCIE,47648,38.5,36.3,Q1
REVIEWS OF GEOPHYSICS,1944-9208,SCIE,21762,38.5,37.3,Q1
Nature Photonics,1749-4893,SCIE,66213,38.1,32.9,Q1
NATURE MATERIALS,1476-4660,SCIE,120629,38.0,38.5,Q1
Nature Nanotechnology,1748-3395,SCIE,87388,37.5,34.9,Q1
Annual Review of Astronomy and Astrophysics,1545-4282,SCIE,19257,37.3,32.5,Q1
Joule,2542-4351,SCIE,52404,37.1,35.4,Q1
Cell Metabolism,1932-7420,SCIE,73683,37.0,30.9,Q1
Foundations and Trends in Machine Learning,1935-8245,ESCI,5119,36.6,25.4,Q1
Lancet Diabetes & Endocrinology,2213-8595,SCIE,26882,36.3,41.8,Q1
Physiological Reviews,1522-1210,SCIE,42535,35.7,28.7,Q1
Nature Reviews Electrical Engineering,2948-1201,ESCI,2048,34.8,,Q1
Lancet Respiratory Medicine,N/A,SCIE,25277,34.7,32.8,Q1
Annual Review of Pathology-Mechanisms of Disease,1553-4014,SCIE,10383,34.5,34.5,Q1
LANCET ONCOLOGY,1474-5488,SCIE,77887,33.7,35.9,Q1
Nature Reviews Rheumatology,1759-4804,SCIE,20561,33.7,32.7,Q1
PROGRESS IN POLYMER SCIENCE,1873-1619,SCIE,30170,32.8,26.1,Q1
Molecular Plant,1752-9867,SCIE,32597,32.7,24.1,Q1
Nature Sustainability,2398-9629,SCIE,32291,32.1,27.1,Q1
eLight,2662-8643,SCIE,2096,31.4,32.1,Q1
Nature Reviews Neurology,1759-4766,SCIE,25085,31.2,33.1,Q1
CELL RESEARCH,1748-7838,SCIE,30501,31.1,25.9,Q1
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,1873-4707,SSCI,25431,31.0,27.0,Q1
PROCEEDINGS OF THE IEEE,1558-2256,SCIE,47784,30.9,25.9,Q1
Nature Water,2731-6084,SCIE,6496,30.7,24.1,Q1
Immunity,1097-4180,SCIE,80786,30.6,26.3,Q1
Energy & Environmental Science,1754-5706,SCIE,139545,30.5,30.8,Q1
ACM COMPUTING SURVEYS,1557-7341,SCIE,48496,30.4,28.0,Q1
Exploration,2766-2098,ESCI,7152,30.4,22.5,Q1
Advances in Optics and Photonics,N/A,SCIE,5691,30.1,23.8,Q1
Nature Machine Intelligence,2522-5839,SCIE,23900,29.8,23.9,Q1
Gastroenterology,1528-0012,SCIE,93386,29.7,25.1,Q1
Nature Chemical Engineering,2948-1198,ESCI,1997,29.7,,Q1
Cancer Discovery,2159-8290,SCIE,40579,29.5,33.3,Q1
Lancet Rheumatology,2665-9913,SCIE,6511,29.5,16.4,Q1
LANCET INFECTIOUS DISEASES,1474-4457,SCIE,42054,29.4,31.0,Q1
Living Reviews in Solar Physics,1614-4961,SCIE,2460,29.4,27.6,Q1
EUROPEAN UROLOGY,1873-7560,SCIE,38364,29.1,25.2,Q1
ADVANCED MATERIALS,1521-4095,SCIE,540001,29.1,26.8,Q1
Military Medical Research,2054-9369,SCIE,7682,29.0,22.9,Q1
NATURE REVIEWS NEUROSCIENCE,1471-0048,SCIE,54187,29.0,26.7,Q1
Annual Review of Condensed Matter Physics,1947-5462,SCIE,6578,29.0,30.7,Q1
Cancer Communications,2523-3548,SCIE,9938,28.4,24.9,Q1
NATURE METHODS,1548-7105,SCIE,142000,28.3,32.1,Q1
Nature Cancer,2662-1347,SCIE,14846,28.0,28.5,Q1
Nature Metabolism,2522-5812,SCIE,20014,27.5,20.8,Q1
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,1873-6270,SCIE,41071,27.5,29.5,Q1
FUNGAL DIVERSITY,1878-9129,SCIE,8588,27.0,24.8,Q1
Nature Climate Change,1758-6798,SCIE,61754,26.9,27.1,Q1
Opto-Electronic Science,2097-4000,ESCI,1733,26.9,,Q1
Advanced Powder Materials,2772-834X,ESCI,3909,26.8,24.9,Q1
Lancet Public Health,2468-2667,"SCIE, SSCI",17385,26.5,25.2,Q1
NATURE IMMUNOLOGY,1529-2916,SCIE,59614,26.5,27.6,Q1
Annual Review of Plant Biology,1545-2123,SCIE,25778,26.4,26.5,Q1
JAMA Internal Medicine,2168-6114,SCIE,28116,26.3,23.3,Q1
Nature Biomedical Engineering,2157-846X,SCIE,24906,26.3,26.6,Q1
Annual Review of Fluid Mechanics,1545-4479,SCIE,20336,26.1,30.2,Q1
COORDINATION CHEMISTRY REVIEWS,1873-3840,SCIE,86303,25.6,23.5,Q1
NATURE GENETICS,1546-1718,SCIE,114115,25.5,29.0,Q1
Science Robotics,2470-9476,SCIE,17521,25.5,27.5,Q1
Lancet Digital Health,2589-7500,SCIE,11618,25.5,24.1,Q1
Advanced Energy Materials,1614-6840,SCIE,174452,25.5,26.0,Q1
TRENDS IN CELL BIOLOGY,1879-3088,SCIE,21812,25.3,18.1,Q1
Journal of the National Cancer Center,2667-0054,ESCI,2638,25.2,9.4,Q1
Environmental Chemistry Letters,1610-3661,SCIE,25657,25.2,20.4,Q1
International Journal of Extreme Manufacturing,2631-7990,SCIE,8329,25.1,21.3,Q1
Nature Aging,2662-8465,SCIE,10875,25.0,19.4,Q1
Annual Review of Biochemistry,1545-4509,SCIE,21229,24.9,20.5,Q1
Nature Food,2662-1355,SCIE,14325,24.7,21.9,Q1
GUT,1468-3288,SCIE,66773,24.6,25.8,Q1
Nature Chemistry,1755-4349,SCIE,51530,24.5,20.2,Q1
PROGRESS IN AEROSPACE SCIENCES,1873-1724,SCIE,11178,24.2,16.2,Q1
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,1879-2170,SCIE,18908,24.1,18.8,Q1
Materials Today,1873-4103,SCIE,36727,24.1,22.0,Q1
ANNALS OF THE RHEUMATIC DISEASES,1468-2060,SCIE,57368,24.0,20.6,Q1
Light-Science & Applications,2047-7538,SCIE,36378,24.0,23.4,Q1
TRENDS IN PHARMACOLOGICAL SCIENCES,1873-3735,SCIE,17299,24.0,19.9,Q1
JAMA Oncology,2374-2445,SCIE,32733,23.9,20.1,Q1
BLOOD,1528-0020,SCIE,168805,23.9,23.1,Q1
Cellular & Molecular Immunology,2042-0226,SCIE,21315,23.9,19.8,Q1
ENDOCRINE REVIEWS,1945-7189,SCIE,20852,23.9,22.0,Q1
EUROPEAN RESPIRATORY JOURNAL,1399-3003,SCIE,55083,23.8,21.0,Q1
ADVANCES IN COLLOID AND INTERFACE SCIENCE,1873-3727,SCIE,36856,23.7,19.3,Q1
JAMA Neurology,2168-6157,SCIE,26720,23.6,21.3,Q1
Bioactive Materials,2452-199X,SCIE,43995,23.6,20.3,Q1
Computers and Education: Artificial Intelligence,2666-920X,ESCI,7468,23.4,,Q1
Journal of Thoracic Oncology,1556-1380,SCIE,29690,23.3,20.8,Q1
Cell Stem Cell,1875-9777,SCIE,33534,23.3,20.4,Q1
Cell Host & Microbe,1934-6069,SCIE,36971,23.2,18.7,Q1
Responsive Materials,2834-8966,ESCI,1246,22.9,,Q1
NATURE CELL BIOLOGY,1476-4679,SCIE,50742,22.7,19.1,Q1
Advanced Fiber Materials,2524-793X,SCIE,9305,22.6,21.3,Q1
DIABETES CARE,1935-5548,SCIE,82731,22.6,16.6,Q1
Nature Synthesis,2731-0582,ESCI,9321,22.6,20.0,Q1
CANCER RESEARCH,1538-7445,SCIE,119428,22.6,16.6,Q1
Nano Research Energy,2790-8119,ESCI,2652,22.6,,Q1
Lancet Global Health,2214-109X,"SCIE, SSCI",31059,22.5,18.0,Q1
Annual Review of Marine Science,1941-0611,SCIE,8150,22.5,18.9,Q1
Interdisciplinary Materials,2767-441X,ESCI,3176,22.5,31.6,Q1
Opto-Electronic Advances,2097-3993,SCIE,4332,22.4,22.4,Q1
JACC-Journal of the American College of Cardiology,1558-3597,SCIE,124430,22.3,,Q1
DRUG RESISTANCE UPDATES,1532-2084,SCIE,9360,22.0,21.7,Q1
Nature Reviews Psychology,2731-0574,SSCI,4045,22.0,21.8,Q1
INTENSIVE CARE MEDICINE,1432-1238,SCIE,34080,22.0,21.2,Q1
Lancet Microbe,2666-5247,SCIE,8267,21.9,20.4,Q1
KIDNEY INTERNATIONAL,1523-1755,SCIE,52229,21.8,12.6,Q1
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1535-4970,SCIE,71648,21.7,19.4,Q1
Clinical and Molecular Hepatology,2287-285X,SCIE,6351,21.7,16.9,Q1
Journal of Extracellular Vesicles,2001-3078,SCIE,19056,21.7,14.5,Q1
Trends in Cancer,2405-8025,SCIE,11685,21.6,17.5,Q1
Green Energy and Intelligent Transportation,2773-1537,SCIE,2693,21.5,16.4,Q1
Carbon Neutralization,2769-3325,ESCI,2824,21.5,12.0,Q1
Carbon Energy,2637-9368,SCIE,11725,21.4,24.2,Q1
TRENDS IN PLANT SCIENCE,1878-4372,SCIE,35314,21.2,20.8,Q1
Lancet Psychiatry,2215-0374,"SCIE, SSCI",23610,21.1,24.8,Q1
MATERIALS SCIENCE & ENGINEERING R-REPORTS,1879-212X,SCIE,13974,21.1,26.8,Q1
ADVANCED DRUG DELIVERY REVIEWS,1872-8294,SCIE,54536,21.0,17.6,Q1
Cyborg and Bionic Systems,2692-7632,SCIE,2883,20.9,18.1,Q1
Science Bulletin,2095-9281,SCIE,27405,20.7,21.1,Q1
CLINICAL MICROBIOLOGY REVIEWS,1098-6618,SCIE,27202,20.7,19.3,Q1
Nature Geoscience,1752-0908,SCIE,47316,20.6,16.1,Q1
Lancet Planetary Health,2542-5196,SCIE,14537,20.5,21.6,Q1
Lancet Healthy Longevity,2666-7568,SCIE,5878,20.5,14.6,Q1
Nano Materials Science,2589-9651,ESCI,4087,20.5,17.9,Q1
Lancet Haematology,N/A,SCIE,8860,20.4,17.7,Q1
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,1939-3539,SCIE,123304,20.4,18.6,Q1
EnergyChem,2589-7780,ESCI,3027,20.4,23.8,Q1
NATURE NEUROSCIENCE,1546-1726,SCIE,79106,20.3,20.0,Q1
SEMINARS IN CANCER BIOLOGY,1096-3650,SCIE,21930,20.3,15.7,Q1
Nature Computational Science,2662-8457,SCIE,6661,20.3,18.3,Q1
Annual Review of Physiology,1545-1585,SCIE,12413,20.3,19.1,Q1
TRENDS IN COGNITIVE SCIENCES,1879-307X,SCIE,40204,20.3,17.2,Q1
PHARMACOLOGICAL REVIEWS,1521-0081,SCIE,14680,20.3,17.3,Q1
HUMAN REPRODUCTION UPDATE,1460-2369,SCIE,14734,20.1,16.1,Q1
Bone Research,2095-6231,SCIE,8555,20.1,15.0,Q1
Radiology-Artificial Intelligence,2638-6100,SCIE,4771,20.1,13.2,Q1
ASTRONOMY AND ASTROPHYSICS REVIEW,1432-0754,SCIE,3674,20.1,26.5,Q1
TRENDS IN ENDOCRINOLOGY AND METABOLISM,1879-3061,SCIE,15416,20.1,12.6,Q1
Mycosphere,2077-7019,SCIE,3955,19.9,15.1,Q1
Journal of Bioresources and Bioproducts,2369-9698,SCIE,2701,19.9,13.0,Q1
PSYCHOLOGICAL BULLETIN,1939-1455,SCIE,67853,19.9,19.8,Q1
ADVANCED FUNCTIONAL MATERIALS,1616-3028,SCIE,413943,19.9,19.0,Q1
Applied Catalysis B-Environment and Energy,1873-3883,SCIE,183973,19.7,21.1,Q1
Molecular Neurodegeneration,1750-1326,SCIE,14388,19.6,17.5,Q1
InfoMat,2567-3165,SCIE,9591,19.6,22.3,Q1
Advanced Photonics,2577-5421,SCIE,4650,19.5,18.8,Q1
Energy Storage Materials,2405-8289,SCIE,75374,19.3,20.2,Q1
SusMat,2692-4552,SCIE,4183,19.2,21.3,Q1
Journal of Nanostructure in Chemistry,2193-8865,SCIE,2841,19.2,7.9,Q1
Translational Neurodegeneration,2047-9158,SCIE,6340,19.1,15.2,Q1
Chem,2451-9294,SCIE,31913,19.1,19.6,Q1
Applied Mechanics Reviews,2379-0407,SCIE,6132,19.1,16.1,Q1
JACC-Cardiovascular Imaging,1876-7591,SCIE,19131,19.0,15.2,Q1
Annual Review of Pharmacology and Toxicology,1545-4304,SCIE,9259,19.0,13.1,Q1
Annual Review of Medicine,1545-326X,SCIE,8605,18.8,22.1,Q1
ARTIFICIAL INTELLIGENCE REVIEW,1573-7462,SCIE,31582,18.8,13.9,Q1
Nature Microbiology,2058-5276,SCIE,32131,18.7,19.4,Q1
eTransportation,2590-1168,SCIE,6574,18.7,17.0,Q1
TRENDS IN MICROBIOLOGY,1878-4380,SCIE,21555,18.7,14.9,Q1
Annual Review of Clinical Psychology,1548-5951,SCIE,12319,18.6,16.5,Q1
Autophagy,1554-8635,SCIE,34458,18.6,14.3,Q1
Nature Protocols,1750-2799,SCIE,62362,18.4,16.0,Q1
Advanced Industrial and Engineering Polymer Research,2542-5048,ESCI,2943,18.4,12.0,Q1
STUDIES IN MYCOLOGY,1872-9797,SCIE,5882,18.3,17.1,Q1
IEEE-CAA Journal of Automatica Sinica,2329-9274,SCIE,14101,18.3,19.2,Q1
Advances in Applied Energy,2666-7924,ESCI,3264,18.3,13.8,Q1
Protein & Cell,1674-8018,SCIE,9917,18.2,12.8,Q1
Nature Communications,2041-1723,SCIE,1166083,18.1,15.7,Q1
National Science Review,2053-714X,SCIE,25850,18.1,17.1,Q1
PROGRESS IN LIPID RESEARCH,1873-2194,SCIE,8950,18.1,14.9,Q1
TRENDS IN MOLECULAR MEDICINE,1471-499X,SCIE,15407,18.1,13.8,Q1
Nature Physics,1745-2481,SCIE,61359,18.0,18.4,Q1
JAMA Psychiatry,2168-6238,"SCIE, SSCI",28366,18.0,17.1,Q1
PhotoniX,2662-1991,SCIE,2839,18.0,19.1,Q1
CIRCULATION RESEARCH,1524-4571,SCIE,68904,18.0,16.2,Q1
npj Digital Medicine,2398-6352,SCIE,25262,18.0,15.1,Q1
Academy of Management Annals,1941-6067,SSCI,12173,18.0,16.5,Q1
HEPATOLOGY,1527-3350,SCIE,74432,18.0,15.8,Q1
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,1879-0690,SCIE,208082,18.0,16.3,Q1
ACCOUNTS OF CHEMICAL RESEARCH,1520-4898,SCIE,92046,18.0,17.7,Q1
Smart Learning Environments,2196-7091,SSCI,3933,17.9,12.1,Q1
TRENDS IN ECOLOGY & EVOLUTION,1872-8383,SCIE,43414,17.9,17.3,Q1
PERIODONTOLOGY 2000,1600-0757,SCIE,13597,17.8,15.7,Q1
Psychological Science in the Public Interest,2160-0031,SSCI,3613,17.6,17.6,Q1
AMERICAN JOURNAL OF BIOETHICS,1536-0075,SSCI,4445,17.6,20.8,Q1
International Journal of Oral Science,2049-3169,SCIE,6433,17.6,12.2,Q1
RADIOLOGY,1527-1315,SCIE,61752,17.6,15.2,Q1
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,1521-3773,SCIE,584988,17.6,16.9,Q1
Nature Human Behaviour,2397-3374,SCIE,21937,17.5,15.9,Q1
Journal of the National Comprehensive Cancer Network,1540-1413,SCIE,16909,17.5,16.4,Q1
ACS Energy Letters,2380-8195,SCIE,73417,17.5,18.2,Q1
Experimental Hematology & Oncology,2162-3619,SCIE,5424,17.5,13.5,Q1
EXPERIMENTAL AND MOLECULAR MEDICINE,2092-6413,SCIE,25742,17.5,12.9,Q1
Computer Science Review,1876-7745,SCIE,6498,17.5,12.7,Q1
Information Fusion,1872-6305,SCIE,40171,17.4,15.5,Q1
TRENDS IN FOOD SCIENCE & TECHNOLOGY,1879-3053,SCIE,66930,17.4,15.4,Q1
Energy Material Advances,2692-7640,ESCI,2281,17.4,15.9,Q1
ACS Nano,1936-086X,SCIE,291591,17.3,16.0,Q1
ANNALS OF INTERNAL MEDICINE,1539-3704,SCIE,69750,17.2,15.2,Q1
Annual Review of Public Health,1545-2093,"SCIE, SSCI",13577,17.2,20.7,Q1
Chinese Journal of Catalysis,1872-2067,SCIE,22931,17.2,17.7,Q1
BMEMat,2751-7446,ESCI,1593,17.2,15.5,Q1
JAMA Pediatrics,2168-6211,SCIE,21513,17.1,18.0,Q1
Nature Ecology & Evolution,2397-334X,SCIE,27566,17.1,14.5,Q1
Journal of Advanced Research,2090-1224,SCIE,21564,17.1,13.0,Q1
Current Obesity Reports,2162-4968,SCIE,5700,17.0,11.0,Q1
INTERNATIONAL MATERIALS REVIEWS,1743-2804,SCIE,9423,17.0,15.5,Q1
Neuron,1097-4199,SCIE,108660,16.9,15.0,Q1
Annual Review of Entomology,1545-4487,SCIE,16834,16.9,16.7,Q1
Cell Discovery,2056-5968,SCIE,8357,16.9,12.5,Q1
FEMS MICROBIOLOGY REVIEWS,1574-6976,SCIE,19031,16.9,12.3,Q1
Physical Review X,2160-3308,SCIE,40187,16.8,15.7,Q1
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,1558-0008,SCIE,32068,16.8,17.2,Q1
Journal of Materials Science & Technology,1941-1162,SCIE,77520,16.8,14.3,Q1
Smart Molecules,2751-4595,ESCI,1350,16.8,,Q1
METABOLISM-CLINICAL AND EXPERIMENTAL,1532-8600,SCIE,23897,16.7,11.9,Q1
Nano Energy,2211-3282,SCIE,135022,16.7,17.1,Q1
Green Energy & Environment,2468-0257,SCIE,8773,16.7,14.6,Q1
Journal of the American Chemical Society,1520-5126,SCIE,628967,16.6,15.6,Q1
TRENDS IN BIOTECHNOLOGY,1879-3096,SCIE,21544,16.6,14.9,Q1
Energy Reviews,2772-9702,ESCI,1233,16.5,,Q1
Science Immunology,2470-9468,SCIE,16066,16.4,16.3,Q1
Biomedical Technology,2949-723X,ESCI,1023,16.4,,Q1
Annual Review of Environment and Resources,1545-2050,SCIE,10013,16.3,16.0,Q1
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,1545-861X,SCIE,27765,16.2,17.3,Q1
PROGRESS IN RETINAL AND EYE RESEARCH,1873-1635,SCIE,14334,16.2,14.7,Q1
Redox Biology,2213-2317,SCIE,46483,16.2,11.9,Q1
Clinical Gastroenterology and Hepatology,1542-7714,SCIE,34511,16.2,12.0,Q1
Materials Reports: Energy,2666-9358,ESCI,1829,16.2,13.8,Q1
Artificial Intelligence in Agriculture,2589-7217,SCIE,2650,16.1,12.4,Q1
Molecular Cell,1097-4164,SCIE,88599,16.0,16.6,Q1
IEEE Reviews in Biomedical Engineering,1941-1189,SCIE,3840,16.0,12.0,Q1
International Journal of Mining Science and Technology,2212-6066,SCIE,11481,15.9,13.7,Q1
AMERICAN JOURNAL OF PSYCHIATRY,1535-7228,"SCIE, SSCI",40251,15.9,14.7,Q1
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,1941-0026,SCIE,29066,15.9,12.0,Q1
Biogeotechnics,2949-9291,ESCI,1085,15.9,,Q1
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,1873-2224,SCIE,7033,15.9,17.9,Q1
Soft Science,2769-5441,ESCI,1913,15.9,9.0,Q1
Nature Chemical Biology,1552-4469,SCIE,35656,15.8,13.7,Q1
Journal of Magnesium and Alloys,2213-9567,SCIE,22066,15.8,13.8,Q1
Lancet Regional Health-Europe,2666-7762,SCIE,9075,15.7,13.0,Q1
Matter,2590-2385,SCIE,22891,15.7,17.5,Q1
TRENDS IN NEUROSCIENCES,1878-108X,SCIE,24033,15.7,15.1,Q1
Industrial Chemistry & Materials,2755-2500,ESCI,1668,15.7,11.9,Q1
JAMA Surgery,2168-6262,SCIE,21579,15.6,14.9,Q1
Cardiovascular Diabetology,1475-2840,SCIE,28480,15.6,10.6,Q1
Science Translational Medicine,1946-6242,SCIE,58152,15.6,14.6,Q1
Journal of Energy Chemistry,2095-4956,SCIE,54533,15.6,14.9,Q1
Annual Review of Earth and Planetary Sciences,1545-4495,SCIE,12754,15.6,13.0,Q1
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,1541-4337,SCIE,29313,15.6,14.1,Q1
BRITISH JOURNAL OF SPORTS MEDICINE,1473-0480,SCIE,40333,15.5,16.2,Q1
JACC: CardioOncology,2666-0873,SCIE,4039,15.5,12.8,Q1
Advanced Composites and Hybrid Materials,2522-0136,SCIE,17028,15.5,21.8,Q1
One Earth,2590-3322,SCIE,11311,15.5,15.3,Q1
AGEING RESEARCH REVIEWS,1872-9649,SCIE,32111,15.5,12.4,Q1
INTERNATIONAL JOURNAL OF PLASTICITY,1879-2154,SCIE,30089,15.4,12.8,Q1
npj Flexible Electronics,2397-4621,SCIE,6383,15.4,15.5,Q1
REPORTS ON PROGRESS IN PHYSICS,1361-6633,SCIE,25466,15.4,20.7,Q1
Annual Review of Food Science and Technology,1941-1421,SCIE,4971,15.4,12.4,Q1
International Journal of Network Dynamics and Intelligence,2653-6226,ESCI,927,15.3,,Q1
Gut Microbes,1949-0984,SCIE,29335,15.3,11.0,Q1
Nature Cities,2731-9997,ESCI,1605,15.3,,Q1
IEEE TRANSACTIONS ON IMAGE PROCESSING,1941-0042,SCIE,95219,15.3,13.7,Q1
NEW ASTRONOMY REVIEWS,1872-9630,SCIE,2056,15.2,26.8,Q1
JAMA Cardiology,2380-6591,SCIE,16454,15.2,14.1,Q1
Nature Astronomy,2397-3366,SCIE,15181,15.2,14.3,Q1
Electron,2751-2614,ESCI,801,15.2,,Q1
Biochar,2524-7867,SCIE,6967,15.1,13.5,Q1
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,1572-9826,SCIE,6785,15.1,10.6,Q1
Nature Plants,2055-0278,SCIE,23005,15.0,13.6,Q1
NUCLEIC ACIDS RESEARCH,1362-4962,SCIE,318538,15.0,13.1,Q1
JOURNAL OF NANOBIOTECHNOLOGY,1477-3155,SCIE,44212,15.0,12.6,Q1
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,1942-4795,SCIE,6540,15.0,11.7,Q1
Microbiome,2049-2618,SCIE,35895,14.9,12.7,Q1
Theranostics,1838-7640,SCIE,56535,14.9,13.3,Q1
JOURNAL OF MANUFACTURING SYSTEMS,1878-6642,SCIE,21033,14.9,14.2,Q1
DRUGS,1179-1950,SCIE,24630,14.7,14.4,Q1
Foundations and Trends in Computer Graphics and Vision,1572-2759,ESCI,569,14.7,9.3,Q1
ACS Measurement Science Au,2694-250X,ESCI,2359,14.7,9.0,Q1
Advances in Methods and Practices in Psychological Science,2515-2467,SCIE,4829,14.6,13.4,Q1
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,1532-7957,SSCI,10354,14.6,10.4,Q1
Acta Pharmaceutica Sinica B,2211-3843,SCIE,28576,14.6,14.6,Q1
Lancet HIV,2352-3018,SCIE,7238,14.6,13.0,Q1
Biomarker Research,2050-7771,SCIE,7601,14.6,11.5,Q1
Genes & Diseases,2352-3042,SCIE,9105,14.6,9.4,Q1
